WRF, Yield, Yield unc., Mean energy [MeV], Mean energy unc. [MeV], Sigma [MeV], Sigma unc. [MeV]
N210713-003 000-000:1,41000000000.0,4700000000.0,14.22,0.06,0,0
N210713-003 000-000:3,40000000000.0,6800000000.0,14.34,0.08,0,0
N210713-003 090-124:1,54000000000.0,17000000000.0,14.12,0.07,0,0
N210713-003 090-124:3,79000000000.0,8700000000.0,14.22,0.06,0,0
N210714-001 000-000:1,670000000.0,410000000.0,13.82,0.2,0,0
N210714-001 000-000:3,690000000.0,430000000.0,13.85,0.15,0,0
N210714-001 090-124:1,950000000.0,240000000.0,14.16,0.09,0,0
N210714-001 090-124:3,600000000.0,620000000.0,14.06,0.21,0,0
N211026-001 000-000:1,31000000000.0,9300000000.0,14.9,0.08,0,0
N211026-001 000-000:3,9600000000.0,3900000000.0,14.97,0.09,0,0
N211026-001 090-078:1,43000000000.0,15000000000.0,15.11,0.08,0,0
N211026-001 090-078:3,26000000000.0,6400000000.0,15.2,0.07,0,0
N211026-002 000-000:1,41000000000.0,6700000000.0,14.91,0.07,0,0
N211026-002 000-000:3,61000000000.0,15000000000.0,14.82,0.07,0,0
N211026-002 090-078:1,43000000000.0,5800000000.0,15.05,0.08,0,0
N211026-002 090-078:3,36000000000.0,8200000000.0,14.98,0.07,0,0
N211026-003 000-000:1,59000000000.0,94000000000.0,15.18,0.09,0,0
N211026-003 000-000:3,450000000000.0,280000000000.0,15.6,0.08,0,0
N211026-003 090-078:1,44000000000.0,20000000000.0,15.09,0.08,0,0
N211026-003 090-078:3,91000000000.0,31000000000.0,15.01,0.07,0,0
