WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
N220913-002 00-000:1,31650000000.0,20664285000.000004,14.469,0.08121576201698781,1.38,0.027,3249.8999999999996,63.585,19.32032777282073,8.22975832483643,nan,inf,nan,inf,nan,nan
N220913-002 00-000:3,24150000000.0,58580655000.0,14.039,0.08720091742636657,1.493,0.066,3516.0150000000003,155.43,39.18513051577727,6.743939452020043,nan,inf,nan,inf,nan,nan
N220913-002 90-078:1,109800000000.0,68240700000.0,14.053,0.07864477096412704,1.556,0.05,3664.38,117.75,38.575993531156946,6.5232878435066315,nan,inf,nan,inf,nan,nan
N220913-002 90-078:4,47300000000.0,10155310000.0,14.03,0.06747592163134936,1.493,0.047,3516.0150000000003,110.685,39.57142782233719,6.318665731182907,nan,inf,nan,inf,nan,nan
N220914-001 00-000:1,50510000000.0,33685119000.0,14.598,0.10735455276791944,1.387,0.035,3266.385,82.42500000000001,11.223428654735068,4.040746688462928,nan,inf,nan,inf,nan,nan
N220914-001 00-000:3,124500000000.0,144158550000.0,14.346,0.07798717843338095,1.411,0.041,3322.905,96.555,24.948286171532423,7.497691900608542,nan,inf,nan,inf,nan,nan
N220914-001 90-078:1,64810000000.0,41394147000.0,14.364,0.07648529270389177,1.371,0.032,3228.705,75.36,24.100066683033326,7.54721852222647,nan,inf,nan,inf,nan,nan
N220914-001 90-078:4,24210000000.0,21517848000.0,14.342,0.10782393055347221,1.435,0.039,3379.425,91.845,25.132417783099854,8.294266650951982,nan,inf,nan,inf,nan,nan
N220914-002 00-000:1,42010000000.0,10544510000.0,14.041,0.07353910524340095,1.525,0.036,3591.375,84.77999999999999,38.24338965994566,6.2951742219913065,nan,inf,nan,inf,nan,nan
N220914-002 00-000:3,24340000000.0,2689570000.0000005,14.069,0.0680147042925278,1.482,0.057,3490.11,134.235,37.05970851343536,6.152618867282778,nan,inf,nan,inf,nan,nan
N220914-002 90-078:1,45280000000.0,19185136000.0,14.152,0.08580209787645056,1.492,0.034,3513.66,80.07000000000001,33.53871116328221,6.526586277492429,nan,inf,nan,inf,nan,nan
N220914-002 90-078:4,23740000000.0,5519550000.0,13.822,0.0764198926981712,1.577,0.032,3713.835,75.36,47.474046900292485,6.8210100741146915,nan,inf,nan,inf,nan,nan
